41	[[32, 7, 9, 6, 20, 10, 44]]
12	[[12, 23, 7, 31, 23, 10, 22]]
10	[[23, 45, 21, 38, 11, 100, 46]]
20	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
9	[[38, 13, 49, 23, 50, 10, 14]]
22	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
25	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
28	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
42	[[38, 29, 37, 45, 13, 10, 6]]
23	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
32	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
46	[[47, 26, 31, 31, 22, 0, 24]]
6	[[6, 7, 1, 16, 37, 0, 19]]
3	[[32, 48, 24, 25, 14, 0, 49]]
43	[[1, 26, 37, 10, 48, 100, 37]]
38	[[46, 9, 3, 42, 36, 100, 10]]
40	[[5, 46, 23, 35, 9, 100, 3]]
47	[[42, 11, 10, 7, 47, 0, 34]]
19	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
27	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
50	[[28, 21, 15, 6, 35, 0, 17]]
7	[[27, 46, 35, 12, 32, 100, 10]]
4	[[26, 39, 42, 7, 8, 100, 43]]
45	[[25, 35, 10, 34, 18, 100, 11]]
33	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
8	[[7, 45, 42, 16, 24, 0, 4]]
29	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
1	[[24, 49, 14, 8, 37, 10, 45]]
21	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
51	[[22, 15, 29, 42, 16, 10, 7]]
48	[[39, 42, 29, 42, 41, 100, 2]]
14	[[45, 34, 49, 41, 40, 0, 33]]
24	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
49	[[43, 27, 1, 33, 4, 0, 21]]
11	[[24, 16, 30, 1, 24, 100, 6]]
2	[[38, 16, 24, 49, 4, 10, 25]]
15	[[31, 33, 50, 18, 1, 100, 9]]
37	[[29, 49, 50, 22, 19, 10, 10]]
5	[[10, 46, 16, 29, 28, 0, 23]]
31	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
26	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
39	[[15, 37, 44, 44, 20, 10, 29]]
44	[[11, 32, 9, 1, 17, 10, 7]]
30	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
13	[[46, 39, 16, 24, 36, 10, 47]]
