7	[[41, 100, 25]]
22	[[1048576, 1048576, 1048576]]
10	[[29, 100, 14]]
4	[[36, 100, 31]]
24	[[1048576, 1048576, 1048576]]
20	[[1048576, 1048576, 1048576]]
5	[[11, 0, 49]]
36	[[6, 10, 49]]
17	[[1048576, 1048576, 1048576]]
33	[[16, 10, 44]]
8	[[20, 10, 42]]
16	[[1048576, 1048576, 1048576]]
1	[[37, 0, 31]]
21	[[1048576, 1048576, 1048576]]
23	[[1048576, 1048576, 1048576]]
32	[[16, 0, 24]]
35	[[30, 0, 21]]
6	[[10, 0, 13]]
2	[[47, 10, 49]]
15	[[1048576, 1048576, 1048576]]
37	[[6, 10, 5]]
3	[[28, 100, 35]]
31	[[5, 100, 8]]
19	[[1048576, 1048576, 1048576]]
38	[[37, 100, 50]]
9	[[35, 100, 5]]
18	[[1048576, 1048576, 1048576]]
34	[[38, 100, 39]]
29	[[45, 100, 6]]
30	[[19, 100, 40]]
