41	[[23, 0, 17, 23, 12, 10, 7]]
12	[[23, 17, 9, 16, 3, 10, 0]]
10	[[32, 17, 20, 31, 25, 10, 47]]
20	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
34	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
18	[[44, 45, 6, 12, 35, 10, 46]]
17	[[12, 13, 36, 46, 45, 0, 2]]
22	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
31	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
53	[[5, 24, 28, 43, 32, 10, 36]]
16	[[38, 32, 40, 43, 44, 0, 9]]
28	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
42	[[10, 8, 26, 36, 16, 0, 32]]
23	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
32	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
46	[[5, 17, 28, 21, 34, 0, 14]]
52	[[30, 1, 36, 48, 46, 100, 36]]
35	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
6	[[24, 40, 46, 20, 13, 0, 12]]
3	[[4, 43, 37, 15, 36, 10, 7]]
43	[[33, 22, 29, 40, 28, 100, 41]]
38	[[19, 36, 29, 48, 16, 100, 25]]
40	[[37, 6, 27, 14, 3, 0, 5]]
50	[[14, 3, 42, 38, 2, 10, 40]]
9	[[11, 19, 45, 15, 27, 100, 13]]
36	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
19	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
27	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
47	[[34, 44, 31, 45, 9, 10, 4]]
7	[[12, 44, 6, 30, 10, 0, 48]]
4	[[40, 44, 34, 47, 31, 10, 38]]
45	[[48, 38, 8, 25, 25, 0, 23]]
33	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
8	[[0, 15, 17, 44, 23, 100, 5]]
29	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
1	[[9, 26, 39, 26, 50, 10, 29]]
21	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
51	[[8, 42, 10, 47, 36, 10, 24]]
48	[[36, 3, 36, 1, 5, 0, 23]]
14	[[15, 45, 42, 18, 34, 10, 24]]
24	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
49	[[0, 30, 17, 27, 11, 100, 35]]
11	[[41, 38, 0, 49, 13, 0, 12]]
2	[[22, 13, 29, 1, 45, 0, 28]]
15	[[6, 28, 4, 5, 8, 100, 11]]
37	[[40, 18, 46, 39, 28, 10, 19]]
5	[[27, 11, 2, 2, 49, 100, 30]]
25	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
26	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
54	[[17, 33, 31, 42, 22, 0, 8]]
13	[[23, 46, 30, 0, 24, 0, 4]]
44	[[30, 30, 12, 23, 21, 0, 19]]
30	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
39	[[31, 4, 12, 33, 46, 0, 22]]
