7	[[18, 23, 7, 20, 38, 0, 41]]
22	[[4, 40, 0, 16, 21, 0, 11]]
10	[[15, 49, 26, 5, 42, 100, 20]]
4	[[42, 1, 37, 21, 39, 100, 11]]
20	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
9	[[17, 38, 43, 40, 32, 10, 37]]
18	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
17	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
12	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
8	[[41, 6, 36, 0, 43, 10, 49]]
24	[[29, 13, 47, 31, 4, 0, 31]]
1	[[17, 38, 10, 25, 47, 0, 2]]
21	[[3, 2, 41, 4, 16, 0, 44]]
28	[[29, 31, 40, 7, 49, 100, 23]]
23	[[0, 44, 41, 14, 31, 100, 18]]
14	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
6	[[20, 12, 43, 11, 39, 100, 16]]
11	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
2	[[1, 32, 50, 14, 6, 100, 4]]
15	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
19	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
5	[[49, 34, 33, 9, 41, 10, 23]]
25	[[32, 17, 14, 22, 10, 100, 34]]
30	[[12, 9, 19, 45, 41, 10, 44]]
26	[[5, 8, 31, 28, 29, 100, 50]]
16	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
3	[[22, 15, 26, 36, 23, 10, 3]]
29	[[39, 13, 11, 33, 48, 0, 37]]
27	[[15, 19, 23, 47, 48, 10, 22]]
13	[[1048576, 1048576, 1048576, 1048576, 1048576, 1048576, 1048576]]
