7	[[14, 0, 19]]
5	[[22, 10, 41]]
22	[[18, 0, 7]]
10	[[19, 10, 35]]
4	[[13, 10, 8]]
20	[[26, 10, 30]]
9	[[14, 100, 8]]
18	[[24, 0, 35]]
17	[[1, 100, 33]]
12	[[37, 0, 25]]
28	[[12, 10, 0]]
16	[[50, 100, 43]]
1	[[5, 0, 48]]
21	[[48, 10, 30]]
6	[[9, 100, 22]]
23	[[28, 10, 47]]
14	[[46, 0, 37]]
24	[[1, 100, 18]]
11	[[9, 0, 43]]
2	[[31, 100, 8]]
15	[[29, 0, 50]]
3	[[7, 0, 43]]
25	[[12, 0, 26]]
8	[[18, 0, 19]]
26	[[0, 0, 41]]
19	[[19, 100, 47]]
27	[[27, 100, 35]]
13	[[22, 10, 42]]
